X,Y,OBJECTID,NAME,ADDRESS,DIRECTOR,PHONE,AUTHORIZER,GRADES,ENROLLMENT,GIS_ID,WEB_URL,AUTHORIZAT,MYSCHOOL,SCHOOL_YEA,LEA_NAME,LEA_ID,SCHOOL_NAM,SCHOOL_ID,SCHOOLCODE,GRADES_1,LATITUDE,LONGITUDE,FACILITY_ID,CLUSTER_,WARD,ZIPCODE,MAR_ID,XCOORD,YCOORD,SE_ANNO_CAD_DATA,GLOBALID,CREATOR,CREATED,EDITOR,EDITED
-76.9778407107336,38.9207866610865,1612,Academy of Hope Adult PCS [18th Place],2315 18TH PLACE NE,Lecester Johnson,202-269-6623,,Adult,0,chrt_28,https://aohdc.org/,0,N,2023-2024,Academy of Hope Adult PCS [18th Place],178,Academy of Hope Adult PCS [18th Place],233,233,Adult,38.9207792,-76.97783843,PCSB_90BLD,Cluster 22,Ward 5,20018,48796,401921.82,139212.16,,{B403BBF0-282E-4E93-B408-9A617D37ECFE},JLAY,2023/08/23 18:04:14+00,JLAY,2023/06/29 14:34:18+00
-77.0027667421266,38.923693282692,1613,Inspired Teaching Demonstration PCS,200 DOUGLAS STREET NE,Deborah Dantzler Williams,202-248-6825,,PK3-8th,0,chrt_2,https://www.inspiredteachingschool.org/,0,Y,2023-2024,Inspired Teaching Demonstration PCS,165,Inspired Teaching Demonstration PCS,3064,3064,PK3-8th,38.92368582,-77.00276446,DGS_0768.0,Cluster 21,Ward 5,20002,53086,399760.28,139534.59,,{5A86D887-F07A-4F7B-A8BA-3D5B9E481C24},JLAY,2023/08/23 18:04:14+00,JLAY,2023/06/29 14:34:18+00
-76.9862157082196,38.8958577095,1614,Kingsman Academy PCS,1375 E STREET NE,Shannon Hodge,202-547-1028,,6th-12th,0,chrt_137,https://www.kingsmanacademy.org/,0,Y,2023-2024,Kingsman Academy PCS,186,Kingsman Academy PCS,267,267,6th-12th,38.89585026,-76.98621343,DGS_0801.0,Cluster 25,Ward 6,20002,286107,401195.97,136444.7,,{7F757911-53D8-4150-BDC0-E8BAA788DF7F},JLAY,2023/08/23 18:04:14+00,JLAY,2023/06/29 14:34:18+00
-76.9880511195187,38.8566297626228,1615,KIPP DC - AIM Academy PCS,2600 DOUGLASS ROAD SE,Susan Schaeffler,202-678-5477,,5th-8th,0,chrt_53,https://www.kippdc.org/schools/middle-schools/kipp-dc-aim-academy/,0,Y,2023-2024,KIPP DC - AIM Academy PCS,129,KIPP DC - AIM Academy PCS,116,116,5th-8th,38.85662232,-76.98804884,DGS_0431.0,Cluster 37,Ward 8,20020,311456,401037.32,132090.08,,{7C601DDA-87D3-483C-AC94-3541FD73656F},JLAY,2023/08/23 18:04:14+00,JLAY,2023/06/29 14:34:18+00
-76.9725939364155,38.8692540959151,1616,Lee Montessori PCS - East End,2345 R STREET SE,Alex Brown,202-996-6700,,PK3-2nd,0,chrt_156,https://leemontessori.org/,0,Y,2023-2024,Lee Montessori PCS - East End,177,Lee Montessori PCS - East End,1141,1141,PK3-2nd,38.869246,-76.972592,,,Ward 8,20020,286946,402378.53,133491.76,,{5D6AB6CC-31E7-45A3-9C7C-98FD167C3329},JLAY,2023/08/23 18:04:14+00,JLAY,2023/06/29 14:34:18+00
-76.9712184576338,38.9011359501502,1617,Two Rivers PCS at Young Elementary School,820 26TH STREET NE,Jessica Wodatch,202-388-1360,,PK3-8th,0,chrt_131,https://www.tworiverspcs.org/,0,Y,2023-2024,Two Rivers PCS - Young,149,Two Rivers PCS - Young,270,270,PK3-8th,38.90112849,-76.97121618,DGS_0783.0,Cluster 23,Ward 5,20002,294499,402496.78,137030.93,,{137B0FC2-976E-4706-984D-C5720EB3A6EB},JLAY,2023/08/23 18:04:14+00,JLAY,2023/06/29 14:34:18+00
-77.0195453721212,38.8841259990102,1618,Washington Global Public Charter School,525 SCHOOL STREET SW,,202-796-2415,,6th-8th,0,chrt_127,https://www.washingtonglobal.org/,0,Y,2023-2024,Washington Global PCS,185,Washington Global PCS,263,263,6th-8th,38.88411855,-77.01954308,PCSB_109BLD,Cluster 9,Ward 6,20024,11149,398304.38,135142.48,,{0414BB94-9D59-4A1C-90E9-209D558C3278},JLAY,2023/08/23 18:04:14+00,JLAY,2023/06/29 14:34:18+00
-77.0224186689895,38.9456093567357,1619,E.L. Haynes PCS - Elementary School,4501 KANSAS AVENUE NW,Jennie Niles,202-667-4446,,PK3-4th,0,chrt_18,https://www.elhaynes.org/,0,Y,2023-2024,E.L. Haynes PCS - Elementary School,116,E.L. Haynes PCS - Elementary School,1206,1206,PK3-4th,38.94560189,-77.02241638,DGS_0625.0,Cluster 18,Ward 4,20011,284930,398056.76,141967.7,,{1A764DC9-3065-4E0A-B5C6-FA6453A58777},JLAY,2023/08/23 18:04:14+00,JLAY,2023/06/29 14:34:18+00
-76.9448237483655,38.8910292565287,1620,DC Prep PCS - Benning Middle,100 41ST STREET NE,Rick Cruz,202-396-3780,,4th-8th,0,chrt_12,https://www.dcprep.org/Benning_Middle_Campus,0,Y,2023-2024,DC Prep PCS - Benning Middle School,115,DC Prep PCS - Benning Middle School,218,218,4th-8th,38.8910218,-76.94482148,DGS_0185.0,Cluster 32,Ward 7,20019,294468,404787,135910.06,,{FFA3CDAD-8610-410E-8D18-744EEE9B7655},JLAY,2023/11/21 16:46:25+00,JLAY,2023/06/29 14:34:18+00
-76.995737360688,38.9242844539218,1621,DC Prep PCS - Edgewood Elementary,707 EDGEWOOD STREET NE,Rick Cruz,202-635-4411,,PK3-3rd,0,chrt_13,https://www.dcprep.org/Edgewood_Elementary_Campus,0,Y,2023-2024,DC Prep PCS - Edgewood Elementary School,115,DC Prep PCS - Edgewood Elementary School,130,130,PK3-3rd,38.92427699,-76.99573508,PCSB_31BLD,Cluster 21,Ward 5,20017,289577,400369.83,139600.22,,{1B601998-1C08-424C-A22B-1777F6E2CA6A},JLAY,2023/11/21 16:46:25+00,JLAY,2023/06/29 14:34:18+00
-76.9960113380538,38.924746500318,1622,DC Prep PCS - Edgewood Middle,701 EDGEWOOD STREET NE,Rick Cruz,202-832-5700,,4th-8th,0,chrt_14,https://www.dcprep.org/Edgewood_Middle_Campus,0,Y,2023-2024,DC Prep PCS - Edgewood Middle School,115,DC Prep PCS - Edgewood Middle School,196,196,4th-8th,38.92473904,-76.99600905,PCSB_33BLD,Cluster 21,Ward 5,20017,289579,400346.07,139651.51,,{C806721C-741B-431D-B6B4-EB6E5BB3B451},JLAY,2023/11/21 16:46:25+00,JLAY,2023/06/29 14:34:18+00
-76.9217450852098,38.8894869932488,1623,DC Scholars PCS,5601 EAST CAPITOL STREET SE,Lars Beck,202-559-6138,,PK3-8th,0,chrt_15,https://dcscholars.org/dcspcs/,0,Y,2023-2024,DC Scholars PCS,170,DC Scholars PCS,3070,3070,PK3-8th,38.88947954,-76.92174283,DGS_0187.0,Cluster 33,Ward 7,20019,294610,406789.33,135740.32,,{10BF7B09-D2E9-4DF9-ABDB-43C362D73F15},JLAY,2023/08/23 18:04:14+00,JLAY,2023/06/29 14:34:18+00
-76.9981450600538,38.8435047055056,1624,Democracy Prep Congress Heights PCS,3100 MARTIN LUTHER KING JR AVENUE SE,Sean Reidy,202-561-0860,,PK3-8th,0,chrt_95,https://democracyprep.org/,0,Y,2023-2024,Democracy Prep Congress Heights PCS,179,Democracy Prep Congress Heights PCS,234,234,PK3-8th,38.84349726,-76.99814278,DGS_0796.0,Cluster 39,Ward 8,20032,301280,400161.23,130633.04,,{0209B264-B57A-4591-8D3F-48186CA55A2C},JLAY,2023/08/23 18:04:14+00,JLAY,2023/06/29 14:34:18+00
-77.0342033705609,38.9729373843229,1625,District of Columbia International School,1400 MAIN DRIVE NW,Mary Shaffner,202-808-9033,,6th-11th,0,chrt_44,https://dcinternationalschool.org/,0,Y,2023-2024,District of Columbia International School,181,District of Columbia International School,248,248,6th-11th,38.97292958,-77.03420107,PCSB_132BLD,Cluster 17,Ward 4,20012,316323,397036.3,145001.68,,{D5894740-1EFF-4654-8A4D-9519EF6159E8},JLAY,2023/08/23 18:04:14+00,JLAY,2023/06/29 14:34:18+00
-77.0224186689895,38.9456093567357,1626,E.L. Haynes PCS - High School,4501 KANSAS AVENUE NW,Jennie Niles,202-667-4446,,9th-12th,0,chrt_17,https://www.elhaynes.org/,0,Y,2023-2024,E.L. Haynes PCS - High School,116,E.L. Haynes PCS - High School,1138,1138,9th-12th,38.94560189,-77.02241638,DGS_0625.0,Cluster 18,Ward 4,20011,284930,398056.76,141967.7,,{A198F0E8-0E56-4FB0-9069-3D4A24C5C801},JLAY,2023/08/23 18:04:14+00,JLAY,2023/06/29 14:34:18+00
-76.9770877740855,38.8433820290288,1627,AppleTree Early Learning PCS - Parklands @ THEARC,1801 MISSISSIPPI AVENUE SE,Michaele Samuel,202-526-1503,,PK3-PK4,0,chrt_101,https://www.appletreeinstitute.org/,0,Y,2023-2024,AppleTree Early Learning Center PCS - Parklands at THEARC,103,AppleTree Early Learning Center PCS - Parklands at THEARC,1069,1069,PK3-PK4,38.84337425,-76.9770855,PCSB_141BLD,Cluster 38,Ward 8,20032,313139,401989.27,130619.67,,{98EF5C19-1E7D-4EB3-BCB7-608A66A87AC4},JLAY,2023/08/23 18:04:14+00,JLAY,2023/06/29 14:34:18+00
-77.0188065377539,38.8844060108643,1628,AppleTree Early Learning PCS - Southwest,488 VIRGINIA AVENUE SW,Michaele Samuel,202-646-0500,,PK3-PK4,0,chrt_99,https://www.appletreeinstitute.org/,0,Y,2023-2024,AppleTree Early Learning Center PCS - Southwest,146,AppleTree Early Learning Center PCS - Southwest,141,141,PK3-PK4,38.88439823,-77.01880425,DGS_0739.0,Cluster 9,Ward 6,20024,331224,398368.49,135173.55,,{6B22E659-0314-4A23-A48F-2132AC65B441},JLAY,2023/08/23 18:04:14+00,JLAY,2023/06/29 14:34:18+00
-76.9755852224314,38.8946032679154,1629,AppleTree Early Learning - Oklahoma Ave (Kingman Park/NE),330 21ST STREET NE,Michaele Samuel,202-629-2179,,PK3-PK4,0,chrt_103,https://www.appletreeinstitute.org/,0,Y,2023-2024,AppleTree Early Learning - Oklahoma Ave (Kingman Park/NE),103,AppleTree Early Learning - Oklahoma Ave (Kingman Park/NE),1137,1137,PK3-PK4,38.89459581,-76.97558295,PCSB_6BLD,Cluster 25,Ward 7,20002,307321,402118.19,136305.64,,{B9362BEA-7FA4-41DA-9B4C-A9532DD4EF69},JLAY,2023/08/23 18:04:14+00,JLAY,2023/06/29 14:34:18+00
-76.9906426517738,38.8807021987916,1630,Digital Pioneers Academy PCS - Capitol Hill,709 12TH STREET SE,,202-677-3522,,6th-8th,0,chrt_141,https://www.digitalpioneersacademy.org/,0,Y,2023-2024,Digital Pioneers Academy PCS,317,Digital Pioneers Academy PCS,1038,1038,6th-8th,38.880695,-76.99064,PCSB_137BLD,Cluster 35,Ward 6,20003,76726,400812.11,134762.27,,{099C7D29-3F65-455F-97BC-113580448D35},JLAY,2023/08/23 18:04:14+00,JLAY,2023/06/29 14:34:18+00
-76.9922710951219,38.8343356602558,1631,Digital Pioneers Academy PCS - Johenning,908 WAHLER PLACE SE,,,,6th-10th,,chrt_169,https://www.digitalpioneersacademy.org/,,Y,2023-2024,Digital Pioneers Academy PCS,317,Digital Pioneers Academy PCS,0,,6th-10th,38.834328,-76.992269,,,Ward 8,20032,294502,400671.25,129615.24,,{8BECEA88-7E37-4D58-86CE-EF5D4CD8BE3F},JLAY,2023/08/23 18:04:14+00,JLAY,2023/06/29 14:34:18+00
-76.9749223728434,38.8487707051887,1632,AppleTree Early Learning PCS - Douglas Knoll,2017 SAVANNAH TERRACE SE,Michaele Samuel,202-629-2545,,PK3-PK4,0,chrt_104,https://www.appletreeinstitute.org/,0,Y,2023-2024,AppleTree Early Learning Center PCS - Douglas Knoll,103,AppleTree Early Learning Center PCS - Douglas Knoll,3072,3072,PK3-PK4,38.84876326,-76.9749201,PCSB_4BLD,Cluster 38,Ward 8,20020,278045,402177.09,131217.9,,{E206DC24-9CBE-4150-82CC-D3D5CD38B8F4},JLAY,2023/08/23 18:04:14+00,JLAY,2023/06/29 14:34:18+00
-77.0299558010421,38.9187568767059,1633,Meridian Public Charter School - Elementary School,2120 13TH STREET NW,Kimberly Moore,202-387-9830,,PK3-5th,0,chrt_178,https://www.mpcs-dc.org/,0,Y,2023-2024,Meridian Public Charter School - Elementary School,135,Meridian Public Charter School - Elementary School,165,165,PK3-5th,38.91874942,-77.02995351,DGS_0273.0,Cluster 3,Ward 1,20009,310205,397402.4,138987.03,,{38C71131-025B-45A3-BDB5-8D2583832E9D},JLAY,2023/08/23 18:04:14+00,JLAY,2023/06/29 14:34:18+00
-77.0327461117814,38.9252514904884,1634,AppleTree Early Learning PCS - Columbia Heights,2750 14TH STREET NW,Michaele Samuel,202-667-9490,,PK3-PK4,0,chrt_100,https://www.appletreeinstitute.org/,0,Y,2023-2024,AppleTree Early Learning Center PCS - Columbia Heights,103,AppleTree Early Learning Center PCS - Columbia Heights,140,140,PK3-PK4,38.92524403,-77.03274382,PCSB_3BLD,Cluster 2,Ward 1,20009,297626,397160.68,139708.07,,{43C23ECA-52A8-42EB-A571-0F0F5A18974E},JLAY,2023/08/23 18:04:14+00,JLAY,2023/06/29 14:34:18+00
-76.9905379527623,38.8915208793539,1635,AppleTree Early Learning PCS - Lincoln Park,138 12TH STREET NE,Michaele Samuel,202-621-6581,,PK3-PK4,0,chrt_102,https://www.appletreeinstitute.org/,0,Y,2023-2024,AppleTree Early Learning Center PCS - Lincoln Park,103,AppleTree Early Learning Center PCS - Lincoln Park,3073,3073,PK3-PK4,38.89151343,-76.99053567,PCSB_5BLD,Cluster 26,Ward 6,20002,65489,400821.07,135963.23,,{178A6942-EC32-4B16-B6CE-0108076FCFF7},JLAY,2023/08/23 18:04:14+00,JLAY,2023/06/29 14:34:18+00
-77.0283308342394,38.9631994207221,1636,Center City PCS - Brightwood,6008 GEORGIA AVENUE NW,Russ Williams,202-723-3322,,PK3-8th,0,chrt_112,https://centercitypcs.org/campuses/brightwood-campus/,0,Y,2023-2024,Center City PCS - Brightwood,156,Center City PCS - Brightwood,1103,1103,PK3-8th,38.96319196,-77.02832854,PCSB_15BLD,Cluster 17,Ward 4,20011,253198,397544.85,143920.5,,{98281E18-4CC5-457E-98B5-6BDCE3DAB58C},JLAY,2023/08/23 18:04:14+00,JLAY,2023/06/29 14:34:18+00
-76.9833068334671,38.8895332726725,1637,Center City PCS - Capitol Hill,1503 EAST CAPITOL STREET SE,Russ Williams,202-547-7556,,PK3-8th,0,chrt_113,https://centercitypcs.org/campuses/capitol-hill/,0,Y,2023-2024,Center City PCS - Capitol Hill,156,Center City PCS - Capitol Hill,1104,1104,PK3-8th,38.88952582,-76.98330456,PCSB_16BLD,Cluster 26,Ward 7,20003,295125,401448.44,135742.68,,{803F64EA-CB38-4474-8166-A12A2347BFD2},JLAY,2023/08/23 18:04:14+00,JLAY,2023/06/29 14:34:18+00
-77.0044469103076,38.8415941236782,1638,Center City PCS - Congress Heights,220 HIGHVIEW PLACE SE,Russ Williams,202-562-7070,,PK3-8th,0,chrt_114,https://centercitypcs.org/campuses/congress-heights/,0,Y,2023-2024,Center City PCS - Congress Heights,156,Center City PCS - Congress Heights,1105,1105,PK3-8th,38.84158668,-77.00444463,PCSB_17BLD,Cluster 39,Ward 8,20032,303702,399614.14,130420.96,,{97D58F28-5263-46CB-B78C-784B734A3441},JLAY,2023/08/23 18:04:14+00,JLAY,2023/06/29 14:34:18+00
-77.0209089625485,38.9438786043823,1639,Center City PCS - Petworth,510 WEBSTER STREET NW,Russ Williams,202-726-9212,,PK3-8th,0,chrt_115,https://centercitypcs.org/campuses/petworth/,0,Y,2023-2024,Center City PCS - Petworth,156,Center City PCS - Petworth,1106,1106,PK3-8th,38.94387114,-77.02090667,PCSB_18BLD,Cluster 18,Ward 4,20011,303332,398187.59,141775.54,,{D29BAF94-4857-4642-ADB6-3F66A6089D69},JLAY,2023/08/23 18:04:14+00,JLAY,2023/06/29 14:34:18+00
-77.0226678155815,38.9074519711772,1640,Center City PCS - Shaw,711 N STREET NW,Russ Williams,202-234-1093,,PK4-8th,0,chrt_116,https://centercitypcs.org/campuses/shaw/,0,Y,2023-2024,Center City PCS - Shaw,156,Center City PCS - Shaw,1107,1107,PK4-8th,38.90744452,-77.02266552,PCSB_19BLD,Cluster 7,Ward 2,20001,290191,398034.11,137731.91,,{6FAE6F47-2D24-462C-9FD9-8822F77C4FFE},JLAY,2023/08/23 18:04:14+00,JLAY,2023/06/29 14:34:18+00
-76.924647156072,38.8919556656053,1641,KIPP DC - Arts and Technology Academy PCS,5300 BLAINE STREET NE,Allison Artis,202-395-6811,,PK3-KG,0,chrt_105,https://www.kippdc.org/schools/early-childhood-schools/kipp-dc-arts-technology-academy/,0,Y,2023-2024,KIPP DC - Arts and Technology Academy PCS,129,KIPP DC - Arts and Technology Academy PCS,236,236,PK3-KG,38.89194821,-76.9246449,DGS_0791.0,Cluster 31,Ward 7,20019,304054,406537.33,136014.15,,{21C9AAB7-39A2-4F1E-A2B8-4269B956D841},JLAY,2023/08/23 18:04:14+00,JLAY,2023/06/29 14:34:18+00
-76.9951656812095,38.8323512969096,1642,KIPP DC - Legacy College Preparatory PCS,3999 8TH STREET SE,Susan Schaeffler,202-678-2527,,9th-12th,0,chrt_54,https://www.kippdc.org/schools/high-school/kipp-dc-college-preparatory/,0,Y,2023-2024,KIPP DC - College Preparatory Academy PCS,129,KIPP DC - College Preparatory Academy PCS,1123,1123,9th-12th,38.832344,-76.995163,DGS_0299.0,Cluster 23,Ward 8,20032,294588,400419.94,129394.95,,{3C55400E-F351-40E5-B367-AD0F3A907FEA},JLAY,2023/08/23 18:04:14+00,JLAY,2023/06/29 14:34:18+00
-76.9490673769665,38.9014454875865,1643,Cesar Chavez PCS for Public Policy,3701 HAYES STREET NE,Jeff Cooper,202-398-2230,,6th-12th,0,chrt_120,https://www.chavezschools.org/,0,Y,2023-2024,Cesar Chavez PCS for Public Policy - Parkside High School,109,Cesar Chavez PCS for Public Policy - Parkside High School,109,109,6th-12th,38.90143803,-76.94906511,PCSB_23BLD,Cluster 30,Ward 7,20019,304053,404418.2,137066.13,,{8BF9EEFC-C1A9-4AC3-B989-74CD0683F70A},JLAY,2023/08/23 18:04:14+00,JLAY,2023/06/29 14:34:18+00
-76.9855527043207,38.8568521685678,1644,Community College Preparatory Academy PCS [DCIA],2330 POMEROY ROAD SE,C. Vanessa Spinner,202-610-5780,,Adult,0,chrt_144,https://www.ccprep-academy.org/,0,N,2023-2024,Community College Preparatory Academy PCS [DCIA],176,Community College Preparatory Academy PCS [DCIA],216,216,Adult,38.85684472,-76.98555043,PCSB_140BLD,Cluster 37,Ward 8,20020,294542,401254.17,132114.8,,{B8F3DFA7-5BDC-466A-9328-03CEBD9A08E5},JLAY,2023/08/23 18:04:14+00,JLAY,2023/06/29 14:34:18+00
-76.9926322340775,38.8627592023516,1645,Community College Preparatory Academy PCS [Main],2405 MARTIN LUTHER KING JR AVENUE SE,C. Vanessa Spinner,202-610-5780,,Adult,0,chrt_7,https://www.ccprep-academy.org/,0,N,2023-2024,Community College Preparatory Academy PCS [Main],176,Community College Preparatory Academy PCS [Main],216,216,Adult,38.86275176,-76.99262996,PCSB_28BLD,Cluster 37,Ward 8,20020,147816,400639.64,132770.45,,{E8497E20-FAFA-4D9A-B0A5-3BABCA3C9B9D},JLAY,2023/08/23 18:04:14+00,JLAY,2023/06/29 14:34:18+00
-76.9785977940712,38.9368039428759,1646,Perry Street Preparatory PCS,1800 PERRY STREET NE,Shadwick Jenkins,202-529-4400,,PK3-8th,0,chrt_75,https://www.pspdc.org/,0,Y,2023-2024,Perry Street Preparatory PCS,125,Perry Street Preparatory PCS,161,161,PK3-8th,38.93679648,-76.97859551,DGS_0780.0,Cluster 22,Ward 5,20018,294529,401855.75,140990.2,,{0AE3651B-B277-4562-99BE-DF49E1544994},JLAY,2023/08/23 18:04:14+00,JLAY,2023/06/29 14:34:18+00
-76.9941028353089,38.8415266763965,1647,Community College Preparatory Academy PCS [MC Terrell],3301 WHEELER ROAD SE,C. Vanessa Spinner,202-770-3252,,Adult,0,chrt_145,https://www.ccprep-academy.org/,0,N,2023-2024,Community College Preparatory Academy PCS [MC Terrell],176,Community College Preparatory Academy PCS [MC Terrell],216,216,Adult,38.84151923,-76.99410056,DGS_0508.0,Cluster 39,Ward 8,20032,294563,400512.16,130413.48,,{FDBB5920-CD3A-45ED-9AAC-69690A821DEA},JLAY,2023/08/23 18:04:14+00,JLAY,2023/06/29 14:34:18+00
-76.9811382902855,38.9080814310359,1648,KIPP DC - Connect Academy PCS,1375 MOUNT OLIVET ROAD NE,,202-396-5477,,PK3-KG,0,chrt_63,https://www.kippdc.org/schools/early-childhood-schools/kipp-dc-connect-academy/,0,Y,2023-2024,KIPP DC - Connect Academy PCS,129,KIPP DC - Connect Academy PCS,209,209,PK3-KG,38.90807397,-76.98113601,DGS_0291.0,Cluster 23,Ward 5,20002,286108,401636.15,137801.71,,{54952F44-E8D9-4327-A391-B6730D4CD24B},JLAY,2023/08/23 18:04:14+00,JLAY,2023/06/29 14:34:18+00
